word,Vision,Motor,Socialness,Emotion,Emotion_abs+1,Time,Space
发现,1.5,1.766666667,2.2,0.666666667,1.666666667,1.766666667,1.466666667
打电话,4.633333333,5.866666667,5.8,0.233333333,1.233333333,2.066666667,1.5
一直,1.233333333,1.033333333,1.133333333,-0.033333333,1.033333333,5.233333333,1.133333333
作息,1.7,1.8,1.233333333,0.066666667,1.066666667,5.033333333,1.266666667
偏僻,2.2,1.833333333,1.533333333,-2.1,3.1,1.066666667,4.533333333
下来,1.433333333,2.2,1.233333333,-0.133333333,1.133333333,1.5,3.2
进度,1.466666667,1.433333333,1.466666667,0.2,1.2,4.266666667,1.366666667
香瓜,6.4,2.933333333,1.2,1.2,2.2,1.066666667,1.2
朗诵,3.4,4.833333333,2.466666667,0.5,1.5,1.4,1.5
内,1.266666667,1.466666667,1.4,0.033333333,1.033333333,1.3,3
不怎么,1.166666667,1.066666667,1.266666667,-1.366666667,2.366666667,1.133333333,1.033333333
师姐,3.6,2,5.766666667,0.733333333,1.733333333,1.133333333,1.166666667
暖气,4.266666667,3.1,1.366666667,1.633333333,2.633333333,1.566666667,1.966666667
到,1.233333333,1.333333333,1.2,0.066666667,1.066666667,1.666666667,2.966666667
蘑菇,5.766666667,3.866666667,1,0.1,1.1,1.066666667,1.7
学员,3.333333333,2.033333333,5.3,0.266666667,1.266666667,1.133333333,1.2
掉色,2.4,2.433333333,1.066666667,-1.566666667,2.566666667,1.866666667,1.166666667
知道,1.433333333,1.666666667,1.9,0.8,1.8,1.2,1.033333333
佩服,1.633333333,2.5,4.933333333,2.6,3.6,1.1,1.166666667
清洗,2.866666667,4.266666667,1.166666667,0.6,1.6,1.533333333,1.7
时间,1.8,1.833333333,1.066666667,0.033333333,1.033333333,6.8,1.166666667
棋友,3.166666667,2.8,6.233333333,0.833333333,1.833333333,1.166666667,1.5
次,1.266666667,1.1,1.133333333,0,1,2.3,1.133333333
聆听,1.9,3.433333333,4.7,1.433333333,2.433333333,1.433333333,1.533333333
提醒,1.933333333,2.4,5.366666667,0.933333333,1.933333333,1.666666667,1.133333333
清水,5.066666667,2.733333333,1,0.433333333,1.433333333,1,1.266666667
好意,1.566666667,1.566666667,3.666666667,2.6,3.6,1.1,1.133333333
莽撞,2.033333333,2.4,2.233333333,-2.666666667,3.666666667,1.4,1.433333333
张,1.333333333,1.6,1.2,0.033333333,1.033333333,1,1.466666667
用,1.366666667,1.266666667,1.366666667,-0.1,1.1,1.133333333,1.166666667
麻烦,1.6,1.633333333,2.6,-2.7,3.7,1.433333333,1.133333333
很是,1.2,1.033333333,1.233333333,-0.066666667,1.066666667,1.133333333,1.033333333
开会,3.833333333,3.533333333,6.4,-0.766666667,1.766666667,3.2,2.966666667
激动,2.066666667,3.3,1.6,1.433333333,2.433333333,1.266666667,1.233333333
年幼,2.5,2.066666667,1.966666667,0.2,1.2,4.633333333,1.233333333
闸门,5.133333333,2.933333333,1.066666667,-0.033333333,1.033333333,1.2,2.566666667
无法,1.2,1.133333333,1.333333333,-1.3,2.3,1.066666667,1.033333333
同班,2.833333333,1.6,5.766666667,0.166666667,1.166666667,1.2,2.3
每天,1.4,1.166666667,1.1,-0.066666667,1.066666667,6.533333333,1.066666667
山里,3.8,1.866666667,1.366666667,-0.2,1.2,1.033333333,6.166666667
洗澡,4.233333333,5.733333333,1.1,1.266666667,2.266666667,1.5,2.366666667
商场,5.066666667,2.866666667,4.833333333,0.5,1.5,1.266666667,6.6
晚饭,3.9,2.666666667,1.6,1.1,2.1,4.333333333,1.533333333
感冒,3.033333333,4.766666667,1.366666667,-2.9,3.9,1.533333333,1.266666667
聊,2.2,2.866666667,5.833333333,0.566666667,1.566666667,1.633333333,1.266666667
小米,6.233333333,2.666666667,1.3,0.3,1.3,1,1.166666667
腹泻,3.3,4.466666667,1.133333333,-3.566666667,4.566666667,1.433333333,1.566666667
爬山,3.933333333,4.8,2.466666667,0.8,1.8,1.966666667,5.733333333
宣传,1.966666667,2.466666667,5.666666667,0.866666667,1.866666667,1.666666667,1.566666667
雪梨,6.433333333,2.9,1.1,0.6,1.6,1.033333333,1.4
红色,4.833333333,2.733333333,1.1,0.7,1.7,1.033333333,1.1
周三,2.066666667,1.7,1.166666667,0.066666667,1.066666667,6.033333333,1.066666667
喊叫,2.466666667,4.633333333,2.033333333,-1.466666667,2.466666667,1.466666667,1.333333333
染上,2,2.2,1.566666667,-0.633333333,1.633333333,1.433333333,1.566666667
地上,2.8,3.166666667,1.066666667,-0.066666667,1.066666667,1.033333333,4.933333333
微波炉,6.266666667,4.066666667,1.433333333,0.2,1.2,1.366666667,2.433333333
买来,1.7,1.933333333,2.6,0.4,1.4,1.566666667,1.6
已经,1.166666667,1.033333333,1.133333333,0,1,3.7,1.033333333
相机,6.233333333,4.866666667,1.833333333,0.266666667,1.266666667,1.1,1.8
没有,1.4,1.4,1.033333333,-0.9,1.9,1.2,1.033333333
向,1.166666667,1.133333333,1.166666667,-0.033333333,1.033333333,1.233333333,2.1
帮助,1.933333333,2.266666667,5.6,1.966666667,2.966666667,1.366666667,1.233333333
很久,1.433333333,1.2,1.066666667,-0.366666667,1.366666667,6.566666667,1.033333333
上去,1.666666667,2.133333333,1.166666667,0.2,1.2,1.5,3.566666667
中暑,3.3,3.6,1.233333333,-3.2,4.2,1.9,1.3
涂上,2.333333333,3.266666667,1.233333333,0.1,1.1,1.4,2.033333333
通风,2.5,3.066666667,1.2,0.8,1.8,1.333333333,2.733333333
拿出,1.8,2.333333333,1.433333333,0.133333333,1.133333333,1.4,2.666666667
票,4.5,2.633333333,1.766666667,0.266666667,1.266666667,1.366666667,1.3
从此,1.2,1.033333333,1.1,-0.1,1.1,4.933333333,1.1
散发,1.9,2.2,1.7,0.133333333,1.133333333,1.166666667,2
连续,1.3,1.333333333,1.166666667,0.133333333,1.133333333,4.166666667,1.366666667
