股票代码,会计年度,行业代码,信息含量
002252,2020.0,C27,-0.31460748109884645
002253,2020.0,I65,-0.3131359634720457
002254,2020.0,C28,-0.19160413726517017
002255,2020.0,C34,-0.3367470746807525
002256,2020.0,D44,-0.2853926352564493
002258,2020.0,C26,-0.24485537827601833
002259,2020.0,D45,-0.2230555924508801
002260,2020.0,C38,-0.25878011571232173
002261,2020.0,I65,-0.21633915115366814
002262,2020.0,C27,-0.29647749874018425
002263,2020.0,C29,-0.18857657330177674
002264,2020.0,F52,-0.2686575313113744
002265,2020.0,C36,-0.3463530472153544
002266,2020.0,N77,-0.3345612065306773
002267,2020.0,D45,-0.1641855251234443
002268,2020.0,I65,-0.30958683628831146
002269,2020.0,C18,-0.266342811941567
002270,2020.0,C38,-0.2650741610598876
002271,2020.0,C30,-0.26817246700718433
002272,2020.0,C34,-0.2367421714740261
002273,2020.0,C39,-0.33708798862589295
002274,2020.0,C26,-0.3024007987067351
002275,2020.0,C27,-0.28013849429446136
002276,2020.0,C38,-0.24103944038115924
002277,2020.0,F52,-0.27188165497756583
002278,2020.0,C35,-0.27415041612795743
002279,2020.0,I65,-0.25054608177010473
002280,2020.0,I65,-0.4042633828844269
002281,2020.0,C39,-0.32425605734708973
002282,2020.0,C34,-0.36115670874316336
002283,2020.0,C36,-0.2674808768447832
002284,2020.0,C36,-0.40508609220888037
002285,2020.0,K70,-0.2881677885246464
002286,2020.0,C13,-0.3059876846447842
002287,2020.0,C27,-0.23673334070971444
002288,2020.0,C39,-0.34066873996457375
002289,2020.0,C39,-0.37669261469405035
002290,2020.0,C38,-0.4174343818221825
002291,2020.0,C18,-0.18260861558178082
002293,2020.0,C17,-0.17704387660166268
002294,2020.0,C27,-0.26744353758070283
